aX,aY,aZ,gX,gY,gZ
0.215,-0.635,-0.638,-100.952,-33.142,-20.020
0.216,-0.647,-0.613,-104.553,-31.189,-15.686
0.222,-0.656,-0.581,-107.178,-29.602,-11.841

-0.878,1.384,-2.584,225.403,125.061,151.306
-0.833,1.783,-3.235,158.325,129.517,174.561
-0.575,1.766,-3.354,73.669,110.291,168.640
-0.282,1.354,-2.724,-2.625,62.988,124.390
-0.126,0.692,-1.717,-45.044,1.221,53.894
-0.065,-0.069,-0.829,-45.837,-52.673,-17.761
-0.096,-0.731,-0.286,-23.132,-84.900,-65.186
-0.152,-1.141,-0.072,2.930,-89.539,-70.251
-0.081,-1.262,-0.135,20.386,-71.350,-35.400
0.093,-1.060,-0.324,25.940,-42.480,15.442
0.299,-0.666,-0.611,27.649,-16.479,60.181
0.480,-0.231,-0.948,29.236,-0.793,85.022
0.562,0.152,-1.253,26.123,4.822,85.388
0.528,0.360,-1.452,19.470,1.282,66.711
0.432,0.379,-1.485,8.789,-6.653,41.199
